Color,BT_Score,iteration
blue,1.6890605458766972,0
red,0.4742905843214764,0
green,-0.03523398514576462,0
purple,-1.0640585708026884,0
yellow,-1.0640585742497202,0
blue,0.4394470917126353,1
purple,0.4394456295250795,1
green,0.43944531906959683,1
yellow,-0.6591688464883324,1
red,-0.6591691938189792,1
green,0.1359946484330146,2
yellow,0.1359944343941669,2
purple,0.13599423362554505,2
blue,0.001006887227990241,2
red,-0.40899020368071687,2
purple,0.3082633034768743,3
green,0.2048872533308545,3
yellow,0.10252367364046801,3
blue,-0.2036194375790267,3
red,-0.41205479286917024,3
green,0.16117495500666568,4
purple,0.16117419261035332,4
yellow,1.7618903380908696e-07,4
red,-0.16117464264585724,4
blue,-0.16117468116019565,4
green,0.20184673368072215,5
purple,0.1343153879179197,5
yellow,3.2441777875550143e-10,5
blue,-0.13431540837385295,5
red,-0.20184671354920666,5
purple,0.172321527958386,6
green,0.05728968758182567,6
yellow,-3.789986001513448e-05,6
red,-0.11478664521358736,6
blue,-0.11478667046660922,6
purple,0.17941738427206658,7
green,0.026669880101480737,7
yellow,-0.024093330424672293,7
blue,-0.07488866813783412,7
red,-0.1071052658110409,7
purple,0.20153162134792224,8
green,0.050225626733869294,8
yellow,-7.367137743747692e-09,8
blue,-0.05022561394988373,8
red,-0.20153162676477004,8
purple,0.3627383068259296,9
yellow,-0.00044637779029814406,9
blue,-0.0004464988753862317,9
green,-0.09033303934729889,9
red,-0.27151239081294637,9
purple,0.20130634437553696,10
blue,0.04006966302718622,10
green,-7.818934668873891e-05,10
red,-0.12064871528894755,10
yellow,-0.12064910276708689,10
blue,0.07284132586141846,11
purple,0.03641574882790968,11
yellow,1.465758464583245e-05,11
green,1.43636863093628e-05,11
red,-0.10928609596028334,11
blue,0.06672830052435899,12
green,0.033354993656290896,12
yellow,4.839967172435124e-09,12
purple,-0.03335489598914639,12
red,-0.06672840303147066,12
green,0.0925314085607439,13
blue,0.0925313239547362,13
red,8.793199564275417e-08,13
yellow,-0.09253133638755154,13
purple,-0.09253148405992424,13
green,0.1435838380386837,14
red,0.11479676387283377,14
blue,1.879390831425437e-09,14
purple,-0.1147967530956917,14
yellow,-0.14358385069521656,14
green,0.13392358793191014,15
red,0.10708172576398438,15
blue,-4.209216273810169e-08,15
purple,-0.10708177528537301,15
yellow,-0.13392349631835876,15
green,0.17623991309823434,16
red,0.10054248003720084,16
blue,0.0251279629694475,16
purple,-0.12570156995723203,16
yellow,-0.17620878614765068,16
green,0.1418490400866596,17
red,0.0708501652333047,17
blue,0.023626516508912863,17
purple,-0.07079489287282617,17
yellow,-0.16553082895605103,17
green,0.22442812484444918,18
red,0.08944741991346733,18
blue,0.022330996662804185,18
purple,-0.13433787719787527,18
yellow,-0.20186866422284544,18
green,0.234026536976937,19
red,0.08475222026607382,19
blue,0.02115455206620803,19
purple,-0.12729412978101967,19
yellow,-0.21263917952819916,19
green,0.24307250013485576,20
red,0.12110695800822066,20
blue,0.04033589181243902,20
purple,-0.18189688788862335,20
yellow,-0.22261846206689204,20
green,0.2126121841339644,21
red,0.17378487118009325,21
blue,0.09647911442757079,21
purple,-0.2316804295323512,21
yellow,-0.2511957402092773,21
green,0.22184920059857616,22
red,0.20325504732702473,22
blue,0.09228564315151806,22
purple,-0.23999879884408734,22
yellow,-0.2773910922330316,22
green,0.26644431809564295,23
red,0.24851407209651677,23
blue,0.05316367490886056,23
yellow,-0.2660652719723478,23
purple,-0.3020567931286725,23
red,0.30782979161387103,24
green,0.25598089174460165,24
blue,0.0511364129343306,24
yellow,-0.2727741249608936,24
purple,-0.34217297133190966,24
red,0.3639031328217802,25
green,0.26346880902337255,25
blue,0.06577621188991811,25
yellow,-0.31291730495847897,25
purple,-0.38023084877659197,25
red,0.28330518001784416,26
green,0.26738884200407037,26
blue,0.031394557865017374,26
yellow,-0.2830683074270297,26
purple,-0.29902027245990237,26
red,0.27281628183954976,27
green,0.27281622709019965,27
blue,0.04537693407270574,27
yellow,-0.27244241396759117,27
purple,-0.31856702903486395,27
red,0.29340960421355716,28
green,0.27857294655275877,28
blue,0.07314951586237349,28
yellow,-0.30764567789244657,28
purple,-0.33748638873624276,28
red,0.32651028838512236,29
green,0.2833703608141921,29
blue,0.04241490415039108,29
purple,-0.32614777613912854,29
yellow,-0.326147777210577,29
red,0.31524339343613533,30
green,0.2736367450712607,30
blue,0.05462008790881323,30
purple,-0.314786505488403,30
yellow,-0.3287137209278063,30
red,0.35885518370756525,31
green,0.23792777178848823,31
blue,0.039555886355852256,31
purple,-0.30469666145170576,31
yellow,-0.3316421804001999,31
red,0.38815092051477534,32
green,0.27010212312728143,32
blue,0.02562091924866784,32
purple,-0.322226227443429,32
yellow,-0.3616477354472958,32
red,0.37742979561982315,33
green,0.31352253601461355,33
blue,0.050041055318945545,33
purple,-0.3640776689824757,33
yellow,-0.37691571797090667,33
red,0.33984522928526056,34
green,0.2906393834120133,34
blue,0.0483510963358923,34
yellow,-0.3147164389254604,34
purple,-0.36411927010770584,34
red,0.3310714247879305,35
green,0.31907675885543296,35
blue,0.08250508476330391,35
yellow,-0.34216270471419963,35
purple,-0.39049056369246765,35
green,0.3337141665920942,36
red,0.3103910977390629,36
blue,0.10322249661806393,36
yellow,-0.3442427709839755,36
purple,-0.4030849899652456,36
green,0.32406630056455077,37
red,0.3014329746217419,37
blue,0.1002530810301743,37
yellow,-0.3343401009554661,37
purple,-0.39141225526100076,37
green,0.33700619755685707,38
red,0.27104265485976087,38
blue,0.09741359509458865,38
yellow,-0.33610852658827967,38
purple,-0.36935392092292685,38
green,0.32781264310936853,39
red,0.2636838807848256,39
blue,0.09477509456905138,39
yellow,-0.32698239598224643,39
purple,-0.35928922248099904,39
green,0.3520876480741369,40
red,0.2787369208783604,40
blue,0.10307107140339233,40
yellow,-0.3405201531288943,40
purple,-0.39337548722699534,40
green,0.36488398774365843,41
red,0.2930315515740855,41
blue,0.11098073161801368,41
yellow,-0.34297632365429936,41
purple,-0.42591994728145816,41
green,0.3660731237348328,42
red,0.28595209912940167,42
blue,0.11814027273949858,42
yellow,-0.3547205660564058,42
purple,-0.41544492954732726,42
green,0.3569103836369615,43
red,0.2788365472946054,43
blue,0.11520618727848347,43
yellow,-0.3459054628275074,43
purple,-0.40504765538254295,43
green,0.3470555604464727,44
red,0.23344933297961373,44
blue,0.10260879702784202,44
yellow,-0.31770223192478936,44
purple,-0.36541145852913914,44
green,0.33886330334851245,45
red,0.22798279276546535,45
blue,0.10020958942683025,45
yellow,-0.310253885046624,45
purple,-0.356801800494184,45
green,0.32196779444902,46
red,0.23174437644334775,46
blue,0.09793828319318654,46
yellow,-0.3031051995351877,46
purple,-0.3485452545503666,46
green,0.3234283493327624,47
red,0.20890873974358978,47
blue,0.09566302435246428,47
yellow,-0.2962639606207374,47
purple,-0.33173615280807894,47
green,0.29897480696879675,48
red,0.21292121636055114,48
blue,0.1021071189738993,48
yellow,-0.2896690338811337,48
purple,-0.32433410842211347,48
green,0.30119112114094587,49
red,0.20849025759602183,49
blue,0.09998458809869376,49
yellow,-0.2921055177811804,49
purple,-0.31756044905448094,49
green,0.28617925566740127,50
red,0.19564404807881322,50
blue,0.08959405127147098,50
purple,-0.27743100803702225,50
yellow,-0.29398634698066317,50
