Color,BT_Score,iteration
green,23.38585373044519,0
blue,7.812947999192787,0
red,-9.641917888747031,0
purple,-10.399048792983123,0
yellow,-11.157835047907852,0
blue,1.0640559471063042,1
green,1.0640502805971224,1
red,0.03523223695552247,1
purple,-0.474285866767012,1
yellow,-1.68905259789193,1
green,1.1693918326525647,2
blue,1.1693848205003974,2
red,0.44469585893314445,2
purple,-0.6657649317235226,2
yellow,-2.1177075803625627,2
green,1.1073093384684611,3
red,0.35035485838122327,3
blue,0.3503538945093396,3
purple,-0.8381340616531006,3
yellow,-0.9698840297059235,3
green,0.9544753854414836,4
red,0.36995088070328563,4
blue,0.36995062009520296,4
yellow,-0.7443449785902345,4
purple,-0.9500319076497732,4
green,0.9863930470779678,5
red,0.4836328962434493,5
blue,0.4834069559245435,5
yellow,-0.9767115404362912,5
purple,-0.9767213588096624,5
green,0.7928777516857366,6
red,0.3893733549579821,6
blue,0.38927401823347907,6
yellow,-0.7857568516537583,6
purple,-0.7857682732234466,6
green,0.8249812188267569,7
blue,0.522672817818794,7
red,0.34890183074718806,7
purple,-0.7517434101795217,7
yellow,-0.9448124572132031,7
green,0.7844024173430455,8
blue,0.570077347969189,8
red,0.3130718648818913,8
purple,-0.6048937190399997,8
yellow,-1.0626579111541474,8
green,0.6899248816352781,9
blue,0.5025273186548418,9
red,0.3667424461621991,9
purple,-0.5795661141212918,9
yellow,-0.9796285323310414,9
green,0.6111339742569868,10
blue,0.4455404133255172,10
red,0.324290586410271,10
purple,-0.5160105479914279,10
yellow,-0.8649544260013542,10
green,0.5490806226398988,11
blue,0.40052366698075303,11
red,0.29136814759399243,11
purple,-0.465533477666888,11
yellow,-0.775438959547742,11
green,0.4687406837176695,12
red,0.36755066466675856,12
blue,0.3341746657273674,12
purple,-0.39105400626111475,12
yellow,-0.7794120078506594,12
green,0.42964584018807983,13
red,0.33692344096684934,13
blue,0.3063171279839665,13
purple,-0.35984288021611377,13
yellow,-0.7130435289227961,13
green,0.3971759532822716,14
red,0.31151251939779456,14
