iteration,num_templates,META,AMZN,NVDA,MSFT,AAPL,GOOG,TSLA
1,1,25094.193167363497,0.18481946354868423,0.18481631297702308,0.18481547901239181,0.18481514030935525,0.1848143092192504,0.1848107689388141
2,2,56451.041999692534,0.16145592519829546,0.1614561092715021,0.1614558797783415,0.1614568965793642,0.16145725291053722,0.16145501598433104
3,3,82683.85355989964,0.1515192463281103,0.15150651550895639,0.15150466802689452,0.1515071705290306,0.15148935891937548,0.1515091459005885
4,4,90626.78057688306,0.14920721284559096,0.14920657205171928,0.14920750574088548,0.1492073494612816,0.14920813015536277,0.1492080666024486
5,5,100325.47319952305,0.14670298802849527,0.14669788226845706,0.14670142233981073,0.1466986058181122,0.1466986405859155,0.14670319719197122
6,6,126621.80440343574,0.14111455752979857,0.1411672145881047,0.14107646688460973,0.1410760451444273,0.14116970853299313,0.14110307195476995
7,7,137599.44772360913,0.13917452612363426,0.13917629680053598,0.1391756821249075,0.13917615660952437,0.13917607299658494,0.13917637011855638
8,8,183631.30962881682,0.1326399863592974,0.132640974300547,0.13264228624843516,0.13264069205802884,0.13263911400556594,0.13263883733961804
9,9,137365.94406064934,0.1392162695090697,0.1392142552320645,0.13921383647750046,0.13921625700328719,0.13921477628833098,0.13921612314735277
10,10,117423.25192796299,0.14290281078136075,0.14290333782004175,0.14290297578548827,0.14290269312368778,0.1429027809994175,0.14290268402047074
11,11,112372.39877893566,0.14394686057593234,0.14395130607014262,0.14393594671109397,0.1439536139743673,0.14396160079622553,0.143973987484231
12,12,148125.37797826677,0.13747657879405772,0.137476465957907,0.1374762967889875,0.13747618995342872,0.1374766308710918,0.13747675113760705
13,13,159337.81320515223,0.13581419127754643,0.1358149083760626,0.1358163983880499,0.13581443119793238,0.13581429561536593,0.13581412387576552
14,14,155738.8652148718,0.13633249520960136,0.13633262191062037,0.1363327589024453,0.13633345984591658,0.13633265143714834,0.13633308520913778
15,15,99916.78789295936,0.14680004360721838,0.14680028063919687,0.14680032932280807,0.14680028713583765,0.1468000557333859,0.14680076212797905
16,16,195684.75695147837,0.1312457036054423,0.13124118987694167,0.13123763523846224,0.13125172738651508,0.13124235946146928,0.13123518705139534
17,17,136398.03468706092,0.13937790038387377,0.13937490397529315,0.13937946363189468,0.139375234388088,0.13938003894533882,0.13938896935852285
18,18,71465.30476641445,0.1552326274831206,0.15523313315583057,0.15523254406881384,0.15523163369572587,0.1552331724275388,0.1552350486027546
19,19,113059.97294359794,0.14380506516030284,0.1438080667801351,0.14380579055098286,0.14381038695234472,0.1438100748128205,0.14380624639718456
20,20,145339.72872477147,0.13791180761984517,0.13791171950220193,0.1379132052691803,0.13791251518429418,0.13791203292715912,0.13791177213887196
21,21,118240.58574456917,0.14273794573830886,0.14273742608845316,0.14273765574571343,0.14273776881005604,0.1427375881174395,0.14273822982058398
22,22,158737.394903339,0.13590063835887814,0.1358997481640341,0.13590018032581808,0.13590020047882603,0.1359003683589818,0.1359001194247436
23,23,162733.6051742018,0.1353402002367919,0.13534004584468357,0.13533967372403985,0.1353353326033849,0.13533724334220512,0.13533682205358843
24,24,156023.92135780025,0.136291925473047,0.13629294032716713,0.13629052599025493,0.13629047972367064,0.13629113773942958,0.13629079295928823
25,25,158414.16197403174,0.1359462711863801,0.13594660517255303,0.13594598740413247,0.1359463155975609,0.13594515847557087,0.13594797662839256
26,26,165073.71810563628,0.13501646340674095,0.13501639708366409,0.13501561403161602,0.1350169433270165,0.1350182400600238,0.13501565065285576
27,27,109550.44469012899,0.144560485671092,0.14456592495605003,0.14456175926682335,0.14456605851114057,0.14456719806700966,0.1445708679128908
28,28,131634.97292018827,0.14020722133188832,0.14020771119744618,0.1402075758852501,0.14020751763173256,0.14020722644747113,0.14020814718269214
29,29,154755.9260496514,0.13647693954433876,0.13647696976898172,0.13647641121456164,0.13647641156159165,0.13647715515460268,0.13647682662414815
30,30,114531.13771089121,0.14349319339982974,0.14350500003295805,0.14349784296322216,0.1435048057098927,0.14349993597875424,0.1434876642411316
31,31,192355.08781849948,0.1316192078814576,0.13161918493970348,0.131618796278745,0.13161766678674072,0.1316173880102783,0.13161714986403383
32,32,123844.3116103517,0.1416380201941743,0.14163728251848606,0.14163856260778873,0.14162749817064083,0.141655517995909,0.14164586878312196
33,33,97620.58564746456,0.14736965676959146,0.14737046863965822,0.14737110949926965,0.1473704966880883,0.14736993094834522,0.14736972537175458
34,34,159008.1029510546,0.13586239255400379,0.13586189932863066,0.1358597100650071,0.1358610168526599,0.13586263154338818,0.13586207316205212
35,35,168196.9554149405,0.13459578897151672,0.1345939442081234,0.13459387280699558,0.13459606213970624,0.13459614675941645,0.1345967602186445
36,36,167155.63330474286,0.13472470445956816,0.1347274089925655,0.13474574056506583,0.13473192457358774,0.13473369573213792,0.1347454172752841
37,37,147618.78932403863,0.13755465079591186,0.13755520131910007,0.1375552743166221,0.13755523263629144,0.13755463168299256,0.13755503251601003
38,38,189708.4034786802,0.13192213113757667,0.13192165405766537,0.13192241982936234,0.13192342599461845,0.13192233273930581,0.13192309514802655
39,39,134330.11903036933,0.13973412601083354,0.1397344994026472,0.13973586791249354,0.1397351743534016,0.13973453883964418,0.1397343149874904
40,40,135103.5279553253,0.13960178892326847,0.13959358663907856,0.13959518793187348,0.13960744617283088,0.13960840361002275,0.13960027351052626
41,41,132462.87487550054,0.14006112764096793,0.14006251237691858,0.1400598387137398,0.14006035129734293,0.1400602872195557,0.140062684818943
42,42,170008.96638530376,0.1343538496047553,0.1343599284926188,0.13434541717676807,0.13435550190640894,0.13435119279154084,0.13436571141539036
43,43,156394.50394512547,0.13623285577936764,0.13623502847547952,0.13623385941421398,0.13623826694775532,0.1362411673166885,0.13624335797962867
44,44,154942.0564711821,0.13647391668701372,0.13644595842813914,0.13644092749866152,0.13646363768815303,0.13642171649323798,0.1364505327464928
45,45,144257.50588160421,0.13808345551337153,0.13808432845375948,0.13808473993041911,0.13808422303930662,0.13808358937372398,0.13808411705924134
46,46,231902.50645931796,0.12757983641096357,0.1275801226896612,0.12757955009611954,0.12758075351607867,0.12758009136578463,0.1275793434930629
47,47,160354.59710244308,0.13567110176092922,0.1356707942351189,0.13567039117545507,0.13567033158407923,0.1356710502063094,0.13567121531413778
48,48,168232.37358390322,0.13459049298361087,0.13459111211051733,0.1345907654212721,0.13459082320446183,0.13459101049356573,0.13459003183856538
49,49,164051.556269229,0.13515580088268275,0.13515658873093542,0.13515679564295513,0.13515662314628102,0.135156601315812,0.13515597550379263
50,50,157717.65520369707,0.13604599962209452,0.1360462160915327,0.13604607671805166,0.13604633531319635,0.1360461638960725,0.1360467823859178
