iteration,num_templates,TSLA,NVDA,AAPL,AMZN,MSFT,GOOG,META
1,1,9.696992769343373,9.696935857440153,6.85893844881426,6.858897771120765,6.858822459259445,3.3565633200702267,9.819124444575262e-06
2,2,4.292302813636628,2.3702555041139735,1.6490406591175448,0.7945756599258466,1.9740372929012144,0.6532658785252622,0.05817046487417992
3,3,3.500037888942675,2.151379874980468,1.5242383136972733,1.0772384331033122,1.916276021578537,0.9561587032166738,0.04414254732462699
4,4,3.2741739516852624,2.0987424099088323,1.6255301015626828,1.2571298087369727,1.9269270075008587,1.0548671570487835,0.0350349044305518
5,5,4.385941755032675,1.818231382983758,1.8187071810044044,1.1974149897855446,1.8183194998605208,1.115179612329766,0.028396544895050748
6,6,4.7291331191111565,1.976147303919085,1.7598672954480925,1.239444314814814,1.8648221883181502,1.0991722626510023,0.023932552369674138
7,7,5.84157707994516,2.1201794973515686,1.9136644293935512,1.0825244551352622,2.01459710014614,0.9710087686000402,0.01992426920551938
8,8,6.000473063177197,2.2264962320802777,1.861199350089678,1.130105728063671,2.0353888843124355,0.9799846088776963,0.017840783508228132
9,9,5.810024500185385,2.3217788102668924,1.9035287257446685,1.17536234174012,2.060504514056308,0.9930921184004269,0.016192238070018836
10,10,5.666355654760674,2.4019335255730683,1.8718566535003873,1.2602175386455292,2.0823561860662156,1.005416428106468,0.014877024717037486
11,11,5.042549046078989,2.171788962576315,1.7347592373269356,1.1764056296421674,1.9097160102870503,0.9287216269701292,0.02522792878658792
12,12,4.8918402649065795,2.183568625937725,1.5297765341502352,1.103791434904267,1.8821493567511849,0.8892222303031854,0.033126951919489854
13,13,4.827669009055303,2.1667846409585603,1.5649009878018896,1.1269052112226416,1.8910300132556193,0.9238306783387291,0.031029995391544715
14,14,4.188969680204238,1.9657556619032763,1.4597533286239157,1.0559732858587063,1.693076758779578,0.8596431014294454,0.05412974879785425
15,15,4.300665828784899,2.0121984780602067,1.452257629676588,1.070554120066761,1.7080215570931392,0.8613790718348688,0.0505188584020318
16,16,4.134834570258895,1.9968827405899057,1.4432447281087837,1.1116165194214835,1.71520760683271,0.9088789525491413,0.048425218142879166
17,17,4.134448626994416,1.9108583360412372,1.4091181773983619,1.1030071622262787,1.6909350386285749,0.9136343700868067,0.052714344037071134
18,18,4.152204943791671,1.9149658369862321,1.3819192565315563,1.09649402704148,1.6733063601086604,0.8820427254376988,0.056234930801995285
19,19,4.240219416009766,1.9496374619560117,1.378387172219084,1.0858476114652067,1.714847444921732,0.8825023057945668,0.05340431709389717
20,20,4.212517747128476,1.9449465665140508,1.3758375791651596,1.1164404117263482,1.7221539795902086,0.9011321585774946,0.05120205575238531
21,21,4.17465893161836,1.9227941075990367,1.3154953032594348,1.0783033807319364,1.7402651097840776,0.8496208689866566,0.05939848453083541
22,22,4.053552969903674,1.8688923518519778,1.2441802470237981,1.0305779034409095,1.6475453114466123,0.8096714408274863,0.07717373930206108
23,23,4.108028253745839,1.8751042500074582,1.2351510267270533,1.0188860937240198,1.6617601590016162,0.7938974538507628,0.07819206988810122
