Color,BT_Score,iteration
purple,34.43103511018809,0
green,34.43103406820529,0
yellow,-8.087710751888423,0
red,-30.387178891958058,0
blue,-30.387179534546817,0
purple,2.4913452750871627,1
green,0.8313026164743249,1
yellow,-0.4151720958692806,1
blue,-1.2958197743515996,1
red,-1.6116560213406075,1
purple,2.0237253169898537,2
green,0.2586761187577338,2
yellow,-0.25114791142977566,2
blue,-0.9256617884067069,2
red,-1.1055917359111262,2
purple,2.3241231111036527,3
green,0.43473238421850624,3
yellow,-0.5159717968399278,3
blue,-0.9118591382664576,3
red,-1.3310245602157451,3
purple,2.1422218385112473,4
green,0.3367199556746385,4
yellow,-0.2948494304545548,4
blue,-0.8122736213824169,4
red,-1.3718187423488999,4
purple,2.2924449862796266,5
green,0.24737015558790176,5
yellow,-0.3681044439894592,5
blue,-0.713244714398769,5
red,-1.458465983479286,5
purple,1.624020915151739,6
green,0.2326149069841108,6
yellow,-0.2438144038767618,6
blue,-0.5160137699085041,6
red,-1.0968076483505627,6
purple,1.4983099656867296,7
green,0.20030045996865198,7
yellow,-0.20676421105688547,7
blue,-0.4982324256914126,7
red,-0.9936137889070906,7
purple,1.3260221401510393,8
green,0.1769580083894411,8
yellow,-0.17483286787913244,8
blue,-0.4781355748134999,8
red,-0.8500117058478693,8
purple,1.2738260343114192,9
green,0.15747921179288937,9
yellow,-0.15626529468404726,9
blue,-0.4720129042860677,9
red,-0.8030270471342007,9
purple,1.2941960445672507,10
green,0.09754598982614482,10
yellow,-0.14607061060006288,10
blue,-0.4733238308109833,10
red,-0.7723475929823778,10
purple,1.2650230510609433,11
green,0.12936203152837322,11
yellow,-0.05758275876963381,11
blue,-0.5093587203749337,11
red,-0.8274436034447277,11
purple,1.1267039167405812,12
green,0.12084685908602211,12
yellow,-0.04816282429272434,12
blue,-0.4567786112217789,12
red,-0.7426093403121357,12
purple,1.1637444151202345,13
green,0.17660557808238053,13
yellow,-0.014278319421734409,13
blue,-0.5272555597712056,13
red,-0.7988161140096537,13
purple,1.0568523383117636,14
green,0.16416270465872884,14
yellow,-0.010451104036675929,14
blue,-0.4814786314839097,14
red,-0.7290853074498926,14
purple,0.97046417030122,15
green,0.1539027833068758,15
yellow,-0.008331505981644227,15
blue,-0.4438133539518674,15
red,-0.6722220936746126,15
purple,0.8976891277493664,16
green,0.14421841804278301,16
yellow,-0.006527013009950622,16
blue,-0.41206930358976024,16
red,-0.623311229192403,16
purple,0.9632144167687713,17
green,0.13646910971652204,17
yellow,0.016304424884381774,17
blue,-0.41849070310293257,17
red,-0.6974972482667425,17
purple,1.0257851866125094,18
green,0.15142385822071702,18
yellow,0.03622248599784683,18
blue,-0.47223453615363553,18
red,-0.7411969946774448,18
purple,0.9579963501647981,19
green,0.14398826360223183,19
yellow,0.03587412334448459,19
blue,-0.443125977015292,19
red,-0.6947327600962154,19
purple,1.0096157618048878,20
green,0.13537388060460387,20
yellow,0.0318381505680847,20
blue,-0.511693086947318,20
red,-0.6651347060302726,20
purple,0.9289889433953462,21
green,0.2098080507890856,21
yellow,0.01309842824017693,21
blue,-0.503110403814631,21
red,-0.6487850186099919,21
purple,0.9313081897677336,22
green,0.257551760746054,22
yellow,0.0323911979508793,22
blue,-0.5367834251617367,22
red,-0.6844677233029586,22
purple,0.9158889835518522,23
green,0.32589721685090467,23
yellow,0.05008287433885528,23
blue,-0.5780096265618724,23
red,-0.7138594481797469,23
purple,0.9355677717262196,24
green,0.2930130673108593,24
yellow,0.047490751481078064,24
blue,-0.5724715155547457,24
red,-0.7036000749633828,24
purple,0.9365008785854059,25
green,0.3334922036843082,25
yellow,0.012053235423437059,25
blue,-0.5506795233750452,25
red,-0.7313667943181343,25
purple,0.9129704923105564,26
green,0.3196320332041154,26
yellow,0.011710029051165805,26
blue,-0.5271873236067179,26
red,-0.7171252309591054,26
purple,0.8712965474930172,27
green,0.30634308431883284,27
yellow,0.011606520473122828,27
blue,-0.5040749268845133,27
red,-0.6851712254004525,27
purple,0.8555029618220686,28
green,0.3414593866258784,28
yellow,-0.003457155626541919,28
blue,-0.5172215776437596,28
red,-0.6762836151776526,28
purple,0.8197941645029445,29
green,0.3282731440386968,29
yellow,-0.0030371318798287916,29
blue,-0.4963794761772249,29
red,-0.6486507004845947,29
purple,0.7872011389529803,30
green,0.3161298555833767,30
yellow,-0.0026773576345817673,30
blue,-0.47729731743939396,30
red,-0.6233563194623883,30
purple,0.7915701596318954,31
green,0.3201663719579102,31
yellow,-0.0025397548800043523,31
blue,-0.46242156588526484,31
red,-0.6467752108245364,31
purple,0.8122907305500462,32
green,0.3509256718013418,32
yellow,-0.028967874980708075,32
blue,-0.4772493677948475,32
red,-0.6569991595758182,32
purple,0.7831404933762158,33
green,0.3392517068882981,33
yellow,-0.027648130361768608,33
blue,-0.44746675864802654,33
red,-0.6472773112547259,33
purple,0.78598199683465,34
green,0.32901771816803915,34
yellow,-0.02703324026656162,34
blue,-0.4470493050771367,34
red,-0.6409171696589837,34
purple,0.7884770977989604,35
green,0.31933746433129784,35
yellow,-0.026541880729219258,35
blue,-0.44652892407941636,35
red,-0.6347437573216439,35
purple,0.7620073161076206,36
green,0.30952424541882806,36
yellow,-0.025750381633521613,36
blue,-0.4320174034969213,36
red,-0.61376377639602,36
purple,0.7660943339685531,37
green,0.30124886653374716,37
yellow,-0.013785214408628121,37
blue,-0.44406213157785146,37
red,-0.6094958545158349,37
purple,0.7574548776585104,38
green,0.33806032899412486,38
yellow,-0.035377805386580974,38
blue,-0.47821255872464974,38
red,-0.5819248425413974,38
purple,0.7375885243734572,39
green,0.3741259981841196,39
yellow,-0.034172504262912184,39
blue,-0.465605149396886,39
red,-0.6119368688977858,39
purple,0.7422039016011652,40
green,0.36494676547058447,40
yellow,-0.022678321451216732,40
blue,-0.46514894466109524,40
red,-0.6193234009594732,40
purple,0.720917824731913,41
green,0.35501610121762184,41
yellow,-0.02195694185100905,41
blue,-0.4521855465622764,41
red,-0.6017914375362494,41
purple,0.7287591917313492,42
green,0.34641023945920324,42
yellow,-0.021664690096017125,42
blue,-0.45223784329276384,42
red,-0.6012668978017501,42
purple,0.7389624387699101,43
green,0.3281528795202533,43
yellow,-0.02147629037695964,43
blue,-0.45151855760516924,43
red,-0.5941204703080203,43
purple,0.7209138222292708,44
green,0.3496752610858209,44
yellow,-0.030202346940605196,44
blue,-0.45054471409323327,44
red,-0.5898420222812675,44
purple,0.7134595869643761,45
green,0.3415654658919536,45
yellow,-0.0294170804654712,45
blue,-0.4302681961233006,45
red,-0.5953397762675721,45
purple,0.7066909217636876,46
green,0.3336584786595509,46
yellow,-0.028800154245452347,46
blue,-0.42989043010431516,46
