iteration,num_templates,green,blue,red,purple,yellow
1,1,64376461110.84773,20.685957534571585,0.00019360560711977317,9.09060661055453e-05,4.266644678013326e-05
2,2,2.8981112926747388,2.8980979746840148,1.0358606798898335,0.6223274858938136,0.1846934725499039
3,3,3.220035459828913,3.2200385602071444,1.5600076859394765,0.5138802637174755,0.12030663977226624
4,4,3.0261897105337248,1.4195607404209165,1.4195704386825119,0.43251794516257797,0.37913055950400226
5,5,2.597876307915603,1.4477964306685218,1.4483271594893043,0.38676336001622763,0.47463748032367
6,6,2.681587294469546,1.6218069032389058,1.6217836769862601,0.37653619637601604,0.3765383887540374
7,7,2.2102349121082425,1.4763366032881504,1.47620711341676,0.45565194186478364,0.4556125293978967
8,8,2.2818318328340292,1.6865322461232843,1.4175116681467852,0.4715430315724739,0.3887529902355041
9,9,2.191088739392291,1.7684092575673398,1.3676213407302567,0.5461299284026052,0.3455376755530513
10,10,1.9960154692878376,1.654804943842038,1.4433790507803612,0.5596367372120198,0.37480266820165553
11,11,1.8425200348217432,1.561336422845493,1.3830467408721774,0.596896612968209,0.42107098662081466
12,12,1.731659564081959,1.492602750634406,1.3382490216632206,0.6278003599681194,0.4605054258270667
13,13,1.5979899884981716,1.3967839030758118,1.4442336162941491,0.6763338741980404,0.4586676764502639
14,14,1.5369382295922187,1.3585422723163987,1.4008151067893981,0.6976996077178627,0.4900282692692949
15,15,1.4876154577087708,1.327346878704982,1.3654919355509603,0.7162838712963265,0.5177863209328867
16,16,1.534416734673732,1.3410910382327155,1.4148561507906439,0.6554995823091253,0.5239787890194925
17,17,1.491273065147751,1.3152077065755634,1.3826160449039848,0.6737868429914795,0.5472986317773002
18,18,1.3249428078675882,1.3249460415906194,1.4915606904184173,0.6897015608319272,0.5537357179702486
19,19,1.368924325203588,1.3689296591562243,1.5333815661501984,0.6557486611486326,0.5307032847385508
20,20,1.3467199659419309,1.4671016447688408,1.405441551967564,0.6856520805559269,0.525225628774912
21,21,1.3254561133085943,1.4373024049298648,1.380088840670919,0.6992739049776242,0.5439163692341829
22,22,1.3072646801066548,1.4395388519511665,1.3584465975326365,0.6976807558385618,0.5606783254038802
23,23,1.2200413387150684,1.437643283352975,1.3118184472138874,0.6971996502610456,0.62336644319283
24,24,1.2091976976853946,1.4142760907421976,1.2959274589288814,0.7085189430094435,0.6368487941891544
25,25,1.1995386404497572,1.3935230895935726,1.2817652112245295,0.731190909703466,0.6383109945785272
26,26,1.1704892308194699,1.349997355415207,1.1890771937391453,0.7778669103610525,0.6842019585223587
27,27,1.1636239678564486,1.3347553311373967,1.1994668295051,0.7853286385983939,0.6835117743936601
28,28,1.1240511817188223,1.381430954883759,1.2272583282141565,0.7463288831825309,0.7031022583503238
29,29,1.1036519149903845,1.38511758374349,1.2182161431959622,0.7541422184990686,0.7120387543800838
30,30,1.0998779766749778,1.3693909457324216,1.2098848579585,0.7615871677659174,0.7205504314901985
31,31,1.1115004323887578,1.4322738983910317,1.219393671256618,0.7373849789817308,0.6985959497397572
32,32,1.1079460562367738,1.4738046653539367,1.2121168159471067,0.7345125204501795,0.6878563924008437
33,33,1.1044861752558959,1.4559262063841973,1.220089469136809,0.7416825353969958,0.6872118206417053
34,34,1.1280884258363553,1.4392988380314606,1.1982472576223564,0.7485333204746548,0.6866703585891042
35,35,1.1372870347430228,1.4585345724229732,1.1642403237128631,0.7458793172447914,0.6942277703809677
36,36,1.1329866359535952,1.4421842947337626,1.145933226738947,0.7699103343326048,0.693673317936182
37,37,1.1290075985445565,1.4271706286604307,1.1415437540817595,0.7756182583565069,0.7009493699217038
38,38,1.1376770263598737,1.4296259334295314,1.1499876319193714,0.7556576195992476,0.7075226680774327
39,39,1.1460592492523687,1.4167196671754325,1.1703810462201398,0.745102167853788,0.7062620971659861
40,40,1.15435944440941,1.43516113209722,1.1904686207725959,0.7348308891564481,0.6900060825227469
41,41,1.1503667896435228,1.4371288049276296,1.1974063718599155,0.732915795365001,0.6892429365057892
42,42,1.1579367738492183,1.4392629905179626,1.2041905181705619,0.7165781060334551,0.6953704919180284
43,43,1.1652465827018135,1.4413588658768148,1.2107385124029595,0.7012614485104911,0.7012610484431866
44,44,1.1612176694240735,1.4570289444152797,1.2055102209346653,0.7069420083325269,0.6935272003847335
45,45,1.1789503157895962,1.4315154521773614,1.222961085339387,0.6993340225627408,0.6928052362797034
46,46,1.1850470805097935,1.419631182029245,1.2064473227375905,0.6987179957746642,0.7051452300359368
47,47,1.180683348995477,1.4086951218736479,1.2121117925496017,0.6980178393267759,0.7106247876512267
48,48,1.1766514077317092,1.4109088711298243,1.217718223487532,0.6910943024753895,0.715762760289745
49,49,1.1725416902565704,1.4003925415393486,1.2125659580727914,0.6966490986980758,0.7209455518213834
50,50,1.1882281124692755,1.3909151792032524,1.2079397041502364,0.6959532342649092,0.7197376412015903
